,2,3,7
0,Industrial Imaging/IoT Software Developer,P & P Optica Inc.,Waterloo
1,Industrial Imaging Software Developer,P & P Optica Inc.,Waterloo
2,Software Developer,Orbis Communications Inc,Dundas
3,Software Developer,Oracle Corporation,Toronto
4,Software Automation Developer,Oracle Corporation,Toronto
5,Cloud-Computing Applications Software Engineering,OptumSoft Inc,Menlo Park
6,Distributed-Systems and Compiler/Languages Software Engineering,OptumSoft Inc,Menlo Park
7,Quality Assurance Engineering,Optimity,Toronto
8,Software Developer - Core Engineering,Open Text Corporation,Waterloo
9,"Software Developer, Webscale",Open Text Corporation,Waterloo
10,"Software Developer, Data Team",Open Text Corporation,Waterloo
11,Software Developer - OT Engineering,Open Text Corporation,Waterloo
12,"Software Developer, Engineering",Open Text Corporation,Waterloo
13,UX Visual Designer,Open Text Corporation,Waterloo
14,"Software Developer, Media Management Product Development",Open Text Corporation,Richmond Hill
15,"UI Developer, Media Management Product Development",Open Text Corporation,Richmond Hill
16,"Software Developer, Cloud",Open Text Corporation,Richmond Hill
17,"Software Developer, Exstream Product Development",Open Text Corporation,Richmond Hill
18,Software Developer - Business Network,Open Text Corporation,Richmond Hill
19,"Engineering, IT or Computer Science",Ontario Power Generation Inc,"Intermediate, Senior"
20,"Windows server, IIS, SQL Server Advisor",Ontario Ministry of Energy,Toronto
21,"Software Engineer, Clinical Genomics",Ontario Institute for Cancer Research,Toronto
22,Software Engineering - Cancer Bioinformatics,Ontario Institute for Cancer Research,Toronto
23,Bioinformatics Programmer,Ontario Institute for Cancer Research,Toronto
24,Controls and Automation Software Developer,Ontario Die International Inc,Kitchener
25,Software Developer,OnCorp Direct Inc,Toronto
26,Software Developer,OLAP Vision,Toronto
27,Software Developer,Office of the Auditor General of Canada,Ottawa
28,Robotics Applications Developer,OCTOPUZ,Waterloo
29,Javascript Application Engineer,OANDA (Canada) Corporation ULC,Toronto
30,Python Software Developer,OANDA (Canada) Corporation ULC,Toronto
31,Android Developer,OANDA (Canada) Corporation ULC,Toronto
32,iOS Developer,OANDA (Canada) Corporation ULC,Toronto
33,Software Developer,OANDA (Canada) Corporation ULC,Toronto
34,Embedded System Developer,Nymi Inc,Toronto
35,Software Developer,Nymi Inc,Toronto
36,CAD Software Architect,NVIDIA Corporation,Santa Clara
37,GPU Architecture Intern,NVIDIA Corporation,Santa Clara
38,ASIC Design Intern,NVIDIA Corporation,Santa Clara
